fast,slow,trades,return,return_pct,win_rate,avg_win,avg_loss
12,30,15,3.1,0.31,46.67,19.86,-15.18
5,25,26,0.24,0.02,38.46,20.38,-11.13
10,20,22,-6.11,-0.61,36.36,22.85,-11.97
10,35,14,-7.03,-0.7,50.0,16.87,-15.94
7,35,20,-8.96,-0.9,40.0,19.85,-12.38
7,20,25,-12.11,-1.21,40.0,20.76,-13.03
5,35,25,-18.74,-1.87,32.0,19.23,-8.74
7,25,25,-20.96,-2.1,32.0,24.32,-11.27
10,30,17,-24.06,-2.41,41.18,20.16,-14.9
5,20,30,-27.28,-2.73,33.33,23.06,-11.46
12,35,14,-28.05,-2.8,50.0,13.35,-15.46
10,25,21,-29.84,-2.98,38.1,19.34,-12.66
7,30,22,-38.54,-3.85,36.36,19.28,-12.29
12,20,23,-43.41,-4.34,34.78,21.96,-13.13
12,25,18,-45.81,-4.58,44.44,18.12,-17.36
5,30,26,-63.65,-6.36,34.62,15.7,-10.62
